WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script 	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition 	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication 	Year 	Edition 	ShelfNo	RowNo	Remarks
W.ISKS1RC35.001	ISKS1RC35	IG.ISKS1RC35.001	35	BUDDHISM	Early Buddhism 		T.W.Rhys Davids	Unknown					English	Roman		 Ptd.Paper	4.20X6.42	28	36	C	Unknown	Unknown			Good	192			Unknown	London Arcibald constable & co.Ltd. 	1908				
W.ISKS1RC36.001	ISKS1RC36	IG.ISKS1RC36.001	36	BUDDHISM	Eastern stories and Legends		Marie L Shedlock	1920				Marie L Shedlock	English	Roman		 Ptd.Paper	4.20X6.42	26	36	C	Unknown	Unknown			Good	244			Unknown	New york E.P.Dutton & company 681 5th Avenew	1920				
W.ISKS1RC37.001	ISKS1RC37	IG.ISKS1RC37.001	37	BUDDHISM	Satasahasrika prajna paramita part I Fas. 3		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23	26	C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1902				
W.ISKS1RC38.001	ISKS1RC38	IG.ISKS1RC38.001	38	BUDDHISM	Satasahasrika prajna paramita part I Fas. 4		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23	26	C	Unknown	Unknown			Good	107			Unknown	The Asiatic Society,57,Park Street,Calcutta	1902				
W.ISKS1RC39.001	ISKS1RC39	IG.ISKS1RC39.001	39	BUDDHISM	Satasahasrika prajna paramita part I Fas. 5		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23	26	C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1903				
W.ISKS1RC40.001	ISKS1RC40	IG.ISKS1RC40.001	40	BUDDHISM	Satasahasrika prajna paramita part I Fas. 6		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23	26	C	Unknown	Unknown			Good	106			Unknown	The Asiatic Society,57,Park Street,Calcutta	1904				
W.ISKS1RC41.001	ISKS1RC41	IG.ISKS1RC41.001	41	BUDDHISM	Satasahasrika prajna paramita part I Fas. 7		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1904				
W.ISKS1RC42.001	ISKS1RC42	IG.ISKS1RC42.001	42	BUDDHISM	Satasahasrika prajna paramita part I Fas. 8		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1904				
W.ISKS1RC43.001	ISKS1RC43	IG.ISKS1RC43.001	43	BUDDHISM	Satasahasrika prajna paramita part I Fas. 9		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1905				
W.ISKS1RC44.001	ISKS1RC44	IG.ISKS1RC44.001	44	BUDDHISM	Satasahasrika prajna paramita part I Fas. 1		Unknown	Unknown				Prathapacandra ghosa	Sanskrit	Devanagari		 Ptd.Paper	5X8.16	23		C	Unknown	Unknown			Good	108			Unknown	The Asiatic Society,57,Park Street,Calcutta	1902				
