WorkUID	ItemUID	ImageGroupUID	Series	Subject	Title	Description	Author	AuthorDate	JointAuthor	Commentary	Commentator	Editor	Language	Script	Scribe	Material	Size_inches	Lines	LettersPerLine	Status	Library	LibraryAddress	Owner	MSSSource	Condition	Folios	Granthas	CopiedFrom	ObtainedFrom	Publication	Year	Edition	ShelfNo	RowNo	Remarks
W.ISKS1RC2337.001	ISKS1RC2337	IG.ISKS1RC2337.001	2337	AYURVEDA	English Translation of Sushruta Samhita Vol. 3 Uttara Tantra		Kaviraj Kunja Lal Bhishagratna	1916					English	Roman		Paper	4.66x8			C	University of California Library	Los Angeles			Good	532				"S.L. Bhaduri,B.L."	1916	First			
W.ISKS1RC2338.001	ISKS1RC2338	IG.ISKS1RC2338.001	2338	AYURVEDA	English Translation of Sushruta Samhita Vol. 3 Uttara Tantra a1		Kaviraj Kunja Lal Bhishagratna	1916					English	Roman		Paper	4.66x8			C		Los Angeles			Good	533				"S.L. Bhaduri,B.L."	1916	First			
W.ISKS1RC2339.001	ISKS1RC2339	IG.ISKS1RC2339.001	2339	AYURVEDA	Gadnigrah (Prayoga khand vol.1)		Vaidya Sodhal	1924		Vadya Jadavji Tricumji Acharya			Sanskrit	Devanagari		Paper	1.78X3.29			C	Sri Vekatewara University Oriental Research Institute				Good	161					1927	Second			
W.ISKS1RC2340.001	ISKS1RC2340	IG.ISKS1RC2340.001	2340	AYURVEDA	Gajagrahanapraka		Narayana Diksita	1968		E.R.Sreekrishna Sarma			English/Sanskrit	Devanagari/Roman		Paper	5.71X8.58			C	Sri Vekatewara University Oriental Research Institute	Tirupati			Good	104				"Sri Venkatewara University Oriental Research Institute, Tirupati."	1968	First			
W.ISKS1RC2341.001	ISKS1RC2341	IG.ISKS1RC2341.001	2341	AYURVEDA	Gajagrahanapraka		Narayana Diksita	1968		E.R.Sreekrishna Sarma			English/Sanskrit	Devanagari/Roman		Paper	5.70x8.58			C	Sri Vekatewara University Oriental Research Institute	Tirupati			Good	105				"Sri Venkatewara University Oriental Research Institute, Tirupati."	1968	First			
W.ISKS1RC2342.001	ISKS1RC2342	IG.ISKS1RC2342.001	2342	AYURVEDA	Gajasika		Naradamuni	1968		E.R.Sreekrishna Sarma		E.R.Sreekrishna Sarma	Sanskrit	Devangari		Paper	7.33X10.5			C	Sri Vekatewara University Oriental Research Institute	Tirupati			Good	96				"Sri Venkatewara University Oriental Research Institute, Tirupati."	1968	First			
W.ISKS1RC2343.001	ISKS1RC2343	IG.ISKS1RC2343.001	2343	AYURVEDA	Gajasika		Naradamuni	1968		E.R.Sreekrishna Sarma		E.R.Sreekrishna Sarma	Sanskrit	Devangari		Paper	7.33X10.5			C		Tirupati			Good	96				"Sri Venkatewara University Oriental Research Institute, Tirupati."					
W.ISKS1RC2344.001	ISKS1RC2344	IG.ISKS1RC2344.001	2344	AYURVEDA	Garbhadharana								Sanskrit	Telugu		Paper	5X6.19			C					Good	144									
W.ISKS1RC2345.001	ISKS1RC2345	IG.ISKS1RC2345.001	2345	AYURVEDA	Grha vaidyam telugu			1916					Sanskrit	Telugu		Paper	11X11.69			C					Good	113					1916	First			
W.ISKS1RC2346.001	ISKS1RC2346	IG.ISKS1RC2346.001	2346	AYURVEDA	Harita samhita		Manmatha Nath Dutt (shastri)	1906					English	Roman		Paper	4X7.18			C					Good	422				Manmath Nath Dutt (Shastri)	1906	First			
W.ISKS1RC2347.001	ISKS1RC2347	IG.ISKS1RC2347.001	2347	AYURVEDA	Harita samhita		Pandit Muralidhara sarma	1962					Sanskrit	Devanagari		Paper	11.63X17.13			C					Good	149				Sree Vekateswara press	1962	First			
W.ISKS1RC2348.001	ISKS1RC2348	IG.ISKS1RC2348.001	2348	AYURVEDA	Hindu medicine		Kaviraj Gananath Sen	1916		Pandit D. Gopalacharlu			Sanskrit	Telugu		Paper	4.34X6.64			C					Good	63				"Ayurvedasrama, Madras."	1916	First			
W.ISKS1RC2349.001	ISKS1RC2349	IG.ISKS1RC2349.001	2349	AYURVEDA	Hindu medicine		Kaviraj Gananath Sen	1916		Pandit D. Gopalacharlu			Sanskrit	Telugu		Paper	4.34X6.64			C					Good	64				"Ayurvedasrama, Madras."	1916	First			
W.ISKS1RC2350.001	ISKS1RC2350	IG.ISKS1RC2350.001	2350	AYURVEDA	History of medicine skt Vol-1		D.Wujastyk	1985					English	Roman		Paper	8.26X11.68			C					Good	335				"The Wellcome Institute for th History of Medicine, London"	1985	First			
W.ISKS1RC2351.001	ISKS1RC2351	IG.ISKS1RC2351.001	2351	AYURVEDA	Interpretation of ancient hindu medicine		Chandra Chakraberty	1923					English	Roman		Paper	4X6.59			C	University of Toronto Library				Good	647				Ramachandra chakraberty	1923	First			
W.ISKS1RC2352.001	ISKS1RC2352	IG.ISKS1RC2352.001	2352	AYURVEDA	Interpretation of ancient hindu medicine		Chandra Chakraberty						English	Roman/Devanagari		Paper	4X6.59			C		Toronto			Good	320						First			
W.ISKS1RC2353.001	ISKS1RC2353	IG.ISKS1RC2353.001	2353	AYURVEDA	Interpretation of ancient hindu medicine		Chandra Chakraberty	1923					English	Roman/Devanagari		Paper	4X6.61			C					Good	331				Ramachandra chakraberty	1923	First			
W.ISKS1RC2354.001	ISKS1RC2354	IG.ISKS1RC2354.001	2354	AYURVEDA	Kasyapa Samhita 1		Marichakasyapa	1953			Vidhodini	Sri sathyapala Bhisagacharya	Sanskrit	Devanagari/Roman		Paper	7.15X10			C					Good	121				The Chowkamba sanskrit series office	1953	First			
W.ISKS1RC2355.001	ISKS1RC2355	IG.ISKS1RC2355.001	2355	AYURVEDA	Kasyapa Samhita 2								Sanskrit	Devanagari		Paper	7.15X10			C					Good	220						First			
W.ISKS1RC2356.001	ISKS1RC2356	IG.ISKS1RC2356.001	2356	AYURVEDA	Kasyapa samhita		Marichakasyapa	1953			Vidhodini	Sri sathyapala Bhisagacharya	Sanskrit	Devanagari		Paper	7.15X10			C					Good	41				The Chowkamba sanskrit series office	1953	First			
W.ISKS1RC2357.001	ISKS1RC2357	IG.ISKS1RC2357.001	2357	AYURVEDA	Kasyapa samhita								Sanskrit	Devanagari		Paper	7.15X10			C					Good	184						First			
W.ISKS1RC2358.001	ISKS1RC2358	IG.ISKS1RC2358.001	2358	AYURVEDA	Kasyapasamhita ayurveda		Marichakasyapa	1953			Vidhodini	Sri sathyapala Bhisagacharya	Sanskrit	Devanagari		Paper	7.15X1o			C					Good	623				The Chowkamba sanskrit series office	1953	First			
W.ISKS1RC2359.001	ISKS1RC2359	IG.ISKS1RC2359.001	2359	AYURVEDA	Kayacikitsa		Dr.G.Purushothamacharyulu	1989					Sanskrit	Telugu		Paper	5.82X8.26			C					Good	458				"A.P. Ayuvedic Literature , Improvement Trust, Hydreabad."	1989	First			
W.ISKS1RC2360.001	ISKS1RC2360	IG.ISKS1RC2360.001	2360	AYURVEDA	Materia Ayurveda Based Ayurveda Saukhyam		Todarananda	1980		Vaidya Bhagwan Dash/Vaidya Latitesh Kashyap			English	Roman		Paper	5.55X8.43			C					Good	746				"Concept Publishing Company, New Delhi"	1980	First			
W.ISKS1RC2361.001	ISKS1RC2361	IG.ISKS1RC2361.001	2361	AYURVEDA	Medicinal material ayurveda		Todarananda	1980		Vaidya Bhagwan Dash/Vaidya Latitesh Kashyap			English	Roman		Paper	5.55X8.43			C					Good	746				"Concept Publishing Company, New Delhi"	1980	First			
